,0
0,date_id
1,time_id
2,symbol_id
3,weight
4,feature_00
5,feature_01
6,feature_02
7,feature_03
8,feature_04
9,feature_05
10,feature_06
11,feature_07
12,feature_08
13,feature_09
14,feature_10
15,feature_11
16,feature_12
17,feature_13
18,feature_14
19,feature_15
20,feature_16
21,feature_17
22,feature_18
23,feature_19
24,feature_20
25,feature_21
26,feature_22
27,feature_23
28,feature_24
29,feature_25
30,feature_26
31,feature_27
32,feature_28
33,feature_29
34,feature_30
35,feature_31
36,feature_32
37,feature_33
38,feature_34
39,feature_35
40,feature_36
41,feature_37
42,feature_38
43,feature_39
44,feature_40
45,feature_41
46,feature_42
47,feature_43
48,feature_44
49,feature_45
50,feature_46
51,feature_47
52,feature_48
53,feature_49
54,feature_50
55,feature_51
56,feature_52
57,feature_53
58,feature_54
59,feature_55
60,feature_56
61,feature_57
62,feature_58
63,feature_59
64,feature_60
65,feature_61
66,feature_62
67,feature_63
68,feature_64
69,feature_65
70,feature_66
71,feature_67
72,feature_68
73,feature_69
74,feature_70
75,feature_71
76,feature_72
77,feature_73
78,feature_74
79,feature_75
80,feature_76
81,feature_77
82,feature_78
83,responder_0
84,responder_1
85,responder_2
86,responder_3
87,responder_4
88,responder_5
89,responder_6
90,responder_7
91,responder_8
