feature,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
feature_00,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true
feature_01,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true
feature_02,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true
feature_03,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true
feature_04,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,true
feature_05,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true
feature_06,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true
feature_07,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true
feature_08,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
feature_09,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_10,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_11,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_12,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false
feature_13,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false
feature_14,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false
feature_15,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false
feature_16,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false
feature_17,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
feature_18,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false
feature_19,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false
feature_20,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
feature_21,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_22,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_23,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_24,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_25,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_26,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_27,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_28,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_29,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_30,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_31,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_32,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false
feature_33,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false
feature_34,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false
feature_35,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
feature_36,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false
feature_37,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_38,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
feature_39,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false
feature_40,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false
feature_41,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,true,false
feature_42,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false
feature_43,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false
feature_44,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false
feature_45,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false
feature_46,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false
feature_47,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false
feature_48,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false
feature_49,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false
feature_50,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false
feature_51,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false
feature_52,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false
feature_53,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false
feature_54,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false
feature_55,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false
feature_56,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false
feature_57,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
feature_58,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false
feature_59,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false
feature_60,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false
feature_61,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
feature_62,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false
feature_63,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false
feature_64,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false
feature_65,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false
feature_66,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false
feature_67,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false
feature_68,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false
feature_69,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false
feature_70,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false
feature_71,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
feature_72,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false
feature_73,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false
feature_74,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false
feature_75,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
feature_76,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
feature_77,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
feature_78,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
